yearArticle, authorArticle, year, authorFirst, authorLast, authors, article, number, line
"2019","Tourish, Dennis","2011","Hazy James K.","Hazy James K.","Hazy James K.","1","1","Hazy James K., 2011, International Journal of Complexity in Leadership and Management, V1, P164."
"2019","Tourish, Dennis","2013","Hazy J. K.","Hazy J. K.","Hazy J. K.","1","1","Hazy J. K., 2013, LEADERSHIP, V11, P79."
"2019","Tourish, Dennis","2014","Hernes T.","Hernes T.","Hernes T.","1","1","Hernes T., 2014, PROCESS THEORY ORG."
"2019","Tourish, Dennis","2007","Hogue M","Hogue M","Hogue M","1","1","Hogue M, 2007, LEADERSHIP QUART, V18, P370, DOI 10.1016/j.leaqua.2007.04.006."
"2019","Tourish, Dennis","2014","Hughes M.","Hughes M.","Hughes M.","1","1","Hughes M., 2014, LEADERSHIP, V12, P449."
"2019","Tourish, Dennis","2016","Hussenot A","Hussenot A","Hussenot A","1","1","Hussenot A, 2016, ORGAN STUD, V37, P523, DOI 10.1177/0170840615604497."
"2019","Tourish, Dennis","2011","Juarrero A.","Juarrero A.","Juarrero A.","1","1","Juarrero A., 2011, SAGE HDB COMPLEXITY, P155."
"2019","Tourish, Dennis","2017","Smith W","Smith W","Smith W","1","1","Smith W, 2017, ORGAN STUD, V38, P303, DOI 10.1177/0170840617693560."
"2019","Tourish, Dennis","2003","KNUDSEN C","KNUDSEN C","KNUDSEN C","1","1","KNUDSEN C, 2003, OXFORD HDB ORG THEOR, P262."
"2019","Tourish, Dennis","2005","Knudsen M","Knudsen M","Knudsen M","1","1","Knudsen M, 2005, N LUHMANN ORG STUDIE, P107."
"2019","Tourish, Dennis","2008","Kort ED","Kort ED","Kort ED","1","1","Kort ED, 2008, LEADERSHIP QUART, V19, P409, DOI 10.1016/j.leaqua.2008.05.003."
"2019","Tourish, Dennis","2012","Kuhn T","Kuhn T","Kuhn T","1","1","Kuhn T, 2012, MANAGE COMMUN Q, V26, P543, DOI 10.1177/0893318912462004."
"2019","Tourish, Dennis","2001","Kupers R","Kupers R","Kupers R","1","1","Kupers R, 2001, COMPLEXITY, V6, P14."
"2019","Tourish, Dennis","2013","Langley A","Langley A","Langley A","1","1","Langley A, 2013, ACAD MANAGE J, V56, P1, DOI 10.5465/amj.2013.4001."
"2019","Tourish, Dennis","2010","LANGLEY Ann","LANGLEY Ann","LANGLEY Ann","1","1","LANGLEY Ann, 2010, PROCESS SENSEMAKING, V1, P1."
"2019","Tourish, Dennis","2013","Latour Bruno","Latour Bruno","Latour Bruno","1","1","Latour Bruno, 2013, ORG ORG MAT AGENCY D, P37."
"2019","Tourish, Dennis","2006","Lichtenstein B.","Lichtenstein B.","Lichtenstein B.","1","1","Lichtenstein B., 2006, LEADER Q, V8, P2, DOI DOI 10.5465/AMR.1989.4308385."
"2019","Tourish, Dennis","2009","Lichtenstein BB","Lichtenstein BB","Lichtenstein BB","1","1","Lichtenstein BB, 2009, LEADERSHIP QUART, V20, P617, DOI 10.1016/j.leaqua.2009.04.006."
"2019","Tourish, Dennis","1999","Macintosh R","Macintosh R","Macintosh R","1","1","Macintosh R, 1999, STRATEGIC MANAGE J, V20, P297, DOI 10.1002/(SICI)1097-0266(199904)20:4<297::AID-SMJ25>3.0.CO;2-Q."
"2019","Tourish, Dennis","2011","Maguire S","Maguire S","Maguire S","1","1","Maguire S, 2011, SAGE HDB COMPLEXITY, P79, DOI {[}10.4135/9781446201084.N5, DOI 10.4135/9781446201084.N5]."
"2019","Tourish, Dennis","2001","Marion R","Marion R","Marion R","1","1","Marion R, 2001, LEADERSHIP QUART, V12, P389, DOI 10.1016/S1048-9843(01)00092-3."
"2019","Tourish, Dennis","2011","Marion R.","Marion R.","Marion R.","1","1","Marion R., 2011, SAGE HDB COMPLEXITY, P385."
"2019","Tourish, Dennis","2013","Marion R.","Marion R.","Marion R.","1","1","Marion R., 2013, OXFORD HDB LEADERSHI, P184."
"2019","Tourish, Dennis","2012","Marion R","Marion R","Marion R","1","1","Marion R, 2012, HANDBOOK OF ORGANIZATIONAL CREATIVITY, P457, DOI 10.1016/B978-0-12-374714-3.00018-5."
"2019","Tourish, Dennis","1852","Marx K.","Marx K.","Marx K.","1","1","Marx K., 1852, 18 BRUMAIRE L BONAPA."
"2019","Tourish, Dennis","2010","McKelvey Bill","McKelvey Bill","McKelvey Bill","1","1","McKelvey Bill, 2010, International Journal of Complexity in Leadership and Management, V1, P4."
"2019","Tourish, Dennis","1985","MEINDL JR","MEINDL JR","MEINDL JR","1","1","MEINDL JR, 1985, ADMIN SCI QUART, V30, P78, DOI 10.2307/2392813."
"2019","Tourish, Dennis","1994","MINTZBERG H","MINTZBERG H","MINTZBERG H","1","1","MINTZBERG H, 1994, HARVARD BUS REV, V72, P107."
"2019","Tourish, Dennis","2002","Moldoveanu M. C.","Moldoveanu M. C.","Moldoveanu M. C.","1","1","Moldoveanu M. C., 2002, COMPANION ORG, P733."
"2019","Tourish, Dennis","1999","Morel B","Morel B","Morel B","1","1","Morel B, 1999, ORGAN SCI, V10, P278, DOI 10.1287/orsc.10.3.278."
"2019","Tourish, Dennis","2011","Morrison Keith","Morrison Keith","Morrison Keith","1","1","Morrison Keith, 2011, International Journal of Complexity in Leadership and Management, V1, P145."
"2019","Tourish, Dennis","2000","Mumby DK","Mumby DK","Mumby DK","1","1","Mumby DK, 2000, GUIL COMMUN, P68."
"2019","Tourish, Dennis","2017","Murphy J","Murphy J","Murphy J","1","1","Murphy J, 2017, PUBLIC ADMIN REV, V77, P692, DOI 10.1111/puar.12698."
"2019","Tourish, Dennis","2013","Nicotera A","Nicotera A","Nicotera A","1","1","Nicotera A, 2013, ORG ORG MAT AGENCY D, P66."
"2019","Tourish, Dennis","2007","Osbom RN","Osbom RN","Osbom RN","1","1","Osbom RN, 2007, LEADERSHIP QUART, V18, P319, DOI 10.1016/j.leaqua.2007.04.003."
"2019","Tourish, Dennis","2009","Osborn RN","Osborn RN","Osborn RN","1","1","Osborn RN, 2009, LEADERSHIP QUART, V20, P191, DOI 10.1016/j.leaqua.2009.01.010."
"2019","Tourish, Dennis","2002","Osborn RN","Osborn RN","Osborn RN","1","1","Osborn RN, 2002, LEADERSHIP QUART, V13, P797, DOI 10.1016/S1048-9843(02)00154-6."
"2019","Tourish, Dennis","2007","Panzar C.","Panzar C.","Panzar C.","1","1","Panzar C., 2007, COMPLEX SYSTEMS LEAD, P305."
"2019","Tourish, Dennis","1994","Peters T","Peters T","Peters T","1","1","Peters T, 1994, T PETERS SEMINAR CRA."
"2019","Tourish, Dennis","2007","Plowman D.A.","Plowman D.A.","Plowman D.A.","1","1","Plowman D.A., 2007, COMPLEX SYSTEMS LEAD, P109."
